SessionID,WindowEnd,WindowNumber,WindowStart
Toto10,1542491407466,6,1542491397466
Toto10,1542491417466,7,1542491407466
Toto10,1542491427466,8,1542491417466
Toto10,1542491437466,9,1542491427466
Toto10,1542491447466,10,1542491437466
Toto10,1542491457466,11,1542491447466
Toto10,1542491467466,12,1542491457466
Toto10,1542491477466,13,1542491467466
Toto10,1542491487466,14,1542491477466
Toto10,1542491497466,15,1542491487466
Toto10,1542491507466,16,1542491497466
Toto10,1542491517466,17,1542491507466
Toto10,1542491527466,18,1542491517466
Toto10,1542491537466,19,1542491527466
Toto10,1542491547466,20,1542491537466
Toto10,1542491557466,21,1542491547466
Toto10,1542491567466,22,1542491557466
Toto10,1542491577466,23,1542491567466
Toto10,1542491587466,24,1542491577466
Toto10,1542491597466,25,1542491587466
Toto10,1542491607466,26,1542491597466
Toto10,1542491617466,27,1542491607466
Toto10,1542491627466,28,1542491617466
Toto10,1542491637466,29,1542491627466
Toto10,1542491647466,30,1542491637466
Toto10,1542491657466,31,1542491647466
Toto10,1542491667466,32,1542491657466
Toto10,1542491677466,33,1542491667466
Toto11,1542592647634,0,1542592637634
Toto11,1542592657634,1,1542592647634
Toto11,1542592667634,2,1542592657634
Toto11,1542592677634,3,1542592667634
Toto11,1542592687634,4,1542592677634
Toto11,1542592697634,5,1542592687634
Toto11,1542592707634,6,1542592697634
Toto11,1542592717634,7,1542592707634
Toto11,1542592727634,8,1542592717634
Toto11,1542592737634,9,1542592727634
Toto11,1542592747634,10,1542592737634
Toto11,1542592757634,11,1542592747634
Toto11,1542592767634,12,1542592757634
Toto11,1542592777634,13,1542592767634
Toto11,1542592787634,14,1542592777634
Toto11,1542592797634,15,1542592787634
Toto11,1542592807634,16,1542592797634
Toto12,1542593658123,0,1542593648123
Toto12,1542593668123,1,1542593658123
Toto12,1542593678123,2,1542593668123
Toto12,1542593688123,3,1542593678123
Toto12,1542593698123,4,1542593688123
Toto12,1542593708123,5,1542593698123
Toto12,1542593718123,6,1542593708123
Toto12,1542593728123,7,1542593718123
Toto12,1542593738123,8,1542593728123
Toto12,1542593748123,9,1542593738123
Toto12,1542593758123,10,1542593748123
Toto12,1542593768123,11,1542593758123
Toto12,1542593778123,12,1542593768123
Toto12,1542593788123,13,1542593778123
Toto12,1542593798123,14,1542593788123
Toto12,1542593808123,15,1542593798123
Toto12,1542593818123,16,1542593808123
Toto12,1542593828123,17,1542593818123
Toto12,1542593838123,18,1542593828123
Toto12,1542593848123,19,1542593838123
Toto2,1540743090354,0,1540743080354
Toto2,1540743100354,1,1540743090354
Toto2,1540743110354,2,1540743100354
Toto2,1540743120354,3,1540743110354
Toto2,1540743130354,4,1540743120354
Toto2,1540743140354,5,1540743130354
